"id","scientificName","State","recordedBy","year"
57306230,"CYCLONEDA SANGUINEA","Minnesota","LARSON I. W.",1980
57306231,"CYCLONEDA SANGUINEA","Illinois","Dahlgren D. J.",1970
57306232,"CYCLONEDA SANGUINEA","Illinois","Canty T. C.",1970
57306233,"CYCLONEDA SANGUINEA","Illinois","Carlson C. A.",1964
57306234,"CYCLONEDA SANGUINEA","Illinois","Zhorne A.",2003
57306235,"CYCLONEDA SANGUINEA","Illinois","Sottos S.",1996
57306236,"CYCLONEDA SANGUINEA","Illinois","Yemm W.",1974
57306237,"HIPPODAMIA TREDECIMPUNCTATA","Illinois","Carlson C. A.",1965
57306238,"HIPPODAMIA TREDECIMPUNCTATA","Illinois","Bowden",1980
57306240,"HIPPODAMIA TREDECIMPUNCTATA","Illinois","Carlson C. A.",1965
57306241,"HIPPODAMIA TREDECIMPUNCTATA","Illinois","Carlson C. A.",1965
57306243,"HIPPODAMIA CONVERGENS","Illinois","Canty T. C.",1970
57306244,"HIPPODAMIA TREDECIMPUNCTATA","Illinois","Carlson C. A.",1965
57306612,"HIPPODAMIA CONVERGENS","Illinois","Bawden C.",1971
57306613,"HIPPODAMIA CONVERGENS","Illinois","Newburg L.",1974
57306614,"HIPPODAMIA CONVERGENS","Illinois","Maxson J.",1974
57306617,"HIPPODAMIA CONVERGENS","Illinois","Anthony B.",1980
57306621,"HIPPODAMIA CONVERGENS","Illinois","Mekus G.I.",1970
57306622,"HIPPODAMIA CONVERGENS","Illinois","Carlson C.A.",1965
57306626,"HIPPODAMIA CONVERGENS","Illinois","Bushong A.",1996
57306628,"HIPPODAMIA CONVERGENS","Illinois","Hasbargen J. A.",1970
57306629,"HIPPODAMIA CONVERGENS","Illinois","Moore T.",1974
57306630,"HIPPODAMIA CONVERGENS","Illinois","Romano V.",1976
57306698,"COCCINELLA SEPTEMPUNCTATA","Illinois","",1988
57306700,"COCCINELLA SEPTEMPUNCTATA","Illinois","Adams J.",1997
57306703,"COCCINELLA SEPTEMPUNCTATA","Illinois","Johnson B.",1986
57306704,"COCCINELLA SEPTEMPUNCTATA","Illinois","Traezek G.",1988
57306708,"COCCINELLA SEPTEMPUNCTATA","Illinois","",1988
57306709,"COCCINELLA SEPTEMPUNCTATA","Illinois","Beatty J.",2000
57306714,"COCCINELLA SEPTEMPUNCTATA","Iowa","Bauwens J. A.",1986
57306717,"COCCINELLA SEPTEMPUNCTATA","Illinois","Moon S.",1996
57306720,"COCCINELLA SEPTEMPUNCTATA","Illinois","Natzke R. A.",1986
57306723,"COCCINELLA SEPTEMPUNCTATA","Illinois","Braynt J.",1990
57306725,"COCCINELLA SEPTEMPUNCTATA","Illinois","Claeys C.",1995
57306729,"COCCINELLA SEPTEMPUNCTATA","Illinois","Wemhold",1999
57306730,"COCCINELLA SEPTEMPUNCTATA","Illinois","Burke K.",1986
57306731,"COLEOMEGILLA MACULATA","Iowa","Cervantes V.",2021
57306733,"COLEOMEGILLA MACULATA","Iowa","Cervantes V.",2021
57306750,"COCCINELLA SEPTEMPUNCTATA","Illinois","Hagopian K.H.",1988
57306751,"COCCINELLA SEPTEMPUNCTATA","Illinois","Johnson G.",1986
57306752,"COLEOMEGILLA MACULATA","Iowa","Cervantes V.",2021
57306753,"COCCINELLA SEPTEMPUNCTATA","Illinois","Heckerson W.",1986
57306754,"COCCINELLA SEPTEMPUNCTATA","Illinois","Bond J.",1996
57306756,"COCCINELLA SEPTEMPUNCTATA","Illinois","Kackert C.C.",1986
57306757,"COLEOMEGILLA MACULATA","Iowa","M. Gorsegner",2021
57306758,"COCCINELLA SEPTEMPUNCTATA","Illinois","Wegner B.",1988
57306759,"COLEOMEGILLA MACULATA","Iowa","Olivia Ruffatto",2021
57306760,"COCCINELLA SEPTEMPUNCTATA","Illinois","Bridge S.",1999
57306761,"COCCINELLA SEPTEMPUNCTATA","Illinois","Vimmerman D.",1992
57306762,"COLEOMEGILLA MACULATA","Iowa","Hughes J.",2021
57306763,"COCCINELLA SEPTEMPUNCTATA","Illinois","Ynnkley D.",1997
57306764,"COLEOMEGILLA MACULATA","Iowa","Hughes J.",2021
57306765,"COCCINELLA SEPTEMPUNCTATA","Iowa","Barrantes A.",2018
57306766,"COLEOMEGILLA MACULATA","Iowa","Cervantes V.",2021
57306767,"COLEOMEGILLA MACULATA","Iowa","Cervantes V.",2021
57306769,"COLEOMEGILLA MACULATA","Iowa","Hughes J.",2021
57306770,"COLEOMEGILLA MACULATA","Iowa","Gorsegner M.",2021
57306771,"COLEOMEGILLA MACULATA","Iowa","Cervantes V.",2021
57306774,"COLEOMEGILLA MACULATA","Iowa","Hughes J.",2021
57306777,"PROPYLEA QUATUORDECIMPUNCTATA","Iowa","Cervantes V.",2021
57306779,"COLEOMEGILLA MACULATA","Iowa","Cervantes V.",2021
57306780,"PROPYLEA QUATUORDECIMPUNCTATA","Iowa","Gorsegner M.",2021
57306781,"COLEOMEGILLA MACULATA","Iowa","Ruffatto O.",2021
57306784,"HIPPODAMIA PARENTHESIS","Iowa","Cervantes V.",2021
57306787,"COLEOMEGILLA MACULATA","Iowa","Gorsegner M.",2021
57306789,"HARMONIA AXYRIDIS","Iowa","Ruffatto O.",2021
57306790,"HARMONIA AXYRIDIS","Iowa","Gorsegner M.",2021
57306791,"HARMONIA AXYRIDIS","Iowa","Ruffatto O.",2021
57306793,"HARMONIA AXYRIDIS","Iowa","Ruffatto O.",2021
57306795,"HARMONIA AXYRIDIS","Iowa","Gorsegner M.",2021
57306796,"HARMONIA AXYRIDIS","Iowa","Hughes J.",2021
57306797,"HARMONIA AXYRIDIS","Iowa","Cervantes V.",2021
57309177,"COLEOMEGILLA MACULATA","Iowa","O. Ruffatto",2021
57309178,"COLEOMEGILLA MACULATA","Iowa","M. Gorsegner",2021
57309180,"COLEOMEGILLA MACULATA","Iowa","V. Cervantes",2021
57309182,"HIPPODAMIA PARENTHESIS","Iowa","V. Cervantes",2021
57309184,"COLEOMEGILLA MACULATA","Iowa","O. Ruffatto",2021
57309189,"COLEOMEGILLA MACULATA","Iowa","J. Hughes",2021
57309191,"HIPPODAMIA CONVERGENS","Iowa","V. Cervantes",2021
57309193,"UNKNOWN","Iowa","M. Gorsegner",2021
57309196,"HIPPODAMIA PARENTHESIS","Iowa","O. Ruffatto",2021
57309200,"COLEOMEGILLA MACULATA","Iowa","V. Cervantes",2021
57309202,"COLEOMEGILLA MACULATA","Iowa","O. Ruffatto",2021
57309204,"COLEOMEGILLA MACULATA","Iowa","V. Cervantes",2021
57309206,"COLEOMEGILLA MACULATA","Iowa","V. Cervantes",2021
57309209,"COLEOMEGILLA MACULATA","Iowa","J. Hughes",2021
57309212,"COLEOMEGILLA MACULATA","Iowa","J. Hughes",2021
57309215,"COLEOMEGILLA MACULATA","Iowa","O. Ruffatto",2021
57309216,"HIPPODAMIA CONVERGENS","Iowa","V. Cervantes",2021
57309219,"HARMONIA AXYRIDIS","Iowa","V. Cervantes",2021
57309222,"HIPPODAMIA PARENTHESIS","Iowa","J. Hughes",2021
57309225,"HIPPODAMIA PARENTHESIS","Iowa","M. Gorsegner",2021
57309228,"HIPPODAMIA PARENTHESIS","Iowa","J. Hughes",2021
57309231,"HIPPODAMIA PARENTHESIS","Iowa","M. Gorsegner",2021
57309235,"HIPPODAMIA PARENTHESIS","Iowa","M. Gorsegner",2021
57309237,"HIPPODAMIA PARENTHESIS","Iowa","O. Ruffatto",2021
57309239,"HIPPODAMIA PARENTHESIS","Iowa","J. Hughes",2021
57309241,"COCCINELLA SEPTEMPUNCTATA","Iowa","O. Ruffatto",2021
57324587,"COLEOMEGILLA MACULATA","Iowa","O. Ruffatto",2021
57328683,"COLEOMEGILLA MACULATA","Iowa","J. Hughes",2021
57328684,"COLEOMEGILLA MACULATA","Iowa","M. Gorsegner",2021
57328685,"CYCLONEDA MUNDA","Iowa","J. Hughes",2021
57328686,"HIPPODAMIA PARENTHESIS","Iowa","V. Cervantes",2021
57328688,"HYPERASPIS UNDULATA","Iowa","M. Gorsegner",2021
57328689,"HYPERASPIS UNDULATA","Iowa","O. Ruffatto",2021
57328692,"COLEOMEGILLA MACULATA","Iowa","V. Cervantes",2021
57328694,"COLEOMEGILLA MACULATA","Iowa","M. Gorsegner",2021
57328696,"COLEOMEGILLA MACULATA","Iowa","J. Hughes",2021
57328697,"COLEOMEGILLA MACULATA","Iowa","V. Cervantes",2021
57328698,"COLEOMEGILLA MACULATA","Iowa","O. Ruffatto",2021
57328700,"COLEOMEGILLA MACULATA","Iowa","M. Gorsegner",2021
57328701,"COLEOMEGILLA MACULATA","Iowa","Olivia Ruffatto",2021
57328702,"COLEOMEGILLA MACULATA","Iowa","O. Ruffatto",2021
57328704,"COLEOMEGILLA MACULATA","Iowa","Olivia Ruffatto",2021
57328705,"COLEOMEGILLA MACULATA","Iowa","Jack Hughes",2021
57328707,"HIPPODAMIA PARENTHESIS","Iowa","Jack Hughes",2021
57328708,"COCCINELLA SEPTEMPUNCTATA","Iowa","V. Cervantes",2021
57328710,"HIPPODAMIA PARENTHESIS","Iowa","Jack Hughes",2021
57328711,"HIPPODAMIA PARENTHESIS","Iowa","M. Gorsegner",2021
57328712,"COLEOMEGILLA MACULATA","Iowa","V. Cervantes",2021
57328968,"HIPPODAMIA PARENTHESIS","Iowa","M. Gorsegner",2021
57328969,"HIPPODAMIA PARENTHESIS","Iowa","V. Cervantes",2021
57328970,"COLEOMEGILLA MACULATA","Iowa","J. Hughes",2021
57328971,"HIPPODAMIA CONVERGENS","Iowa","Jack Hughes",2021
57328972,"COLEOMEGILLA MACULATA","Iowa","M. Gorsegner",2021
57328973,"CYCLONEDA MUNDA","Iowa","J. Hughes",2021
57328974,"HIPPODAMIA PARENTHESIS","Iowa","V. Cervantes",2021
57328975,"CYCLONEDA MUNDA","Iowa","M. Gorsegner",2021
57328976,"CYCLONEDA MUNDA","Iowa","V. Cervantes",2021
57328977,"COLEOMEGILLA MACULATA","Iowa","M. Gorsegner",2021
57328978,"CYCLONEDA MUNDA","Iowa","J. Hughes",2021
57328979,"PROPYLEA QUATUORDECIMPUNCTATA","Iowa","Olivia Ruffatto",2021
57328980,"CYCLONEDA MUNDA","Iowa","O. Ruffatto",2021
57328981,"CYCLONEDA MUNDA","Iowa","V. Cervantes",2021
57328982,"COLEOMEGILLA MACULATA","Iowa","V. Cervantes",2021
57328983,"HARMONIA AXYRIDIS","Iowa","M. Gorsegner",2021
57328984,"COLEOMEGILLA MACULATA","Iowa","O. Ruffatto",2021
57328985,"COLEOMEGILLA MACULATA","Iowa","Olivia Ruffatto",2021
57328986,"COLEOMEGILLA MACULATA","Iowa","Jack Hughes",2021
57328987,"COLEOMEGILLA MACULATA","Iowa","M. Gorsegner",2021
57328988,"COLEOMEGILLA MACULATA","Iowa","V. Cervantes",2021
57328989,"COLEOMEGILLA MACULATA","Iowa","V. Cervantes",2021
57328990,"CYCLONEDA MUNDA","Iowa","V. Cervantes",2021
57328991,"COLEOMEGILLA MACULATA","Iowa","Jack Hughes",2021
57328992,"COLEOMEGILLA MACULATA","Iowa","M. Gorsegner",2021
57328993,"CYCLONEDA MUNDA","Iowa","M. Gorsegner",2021
57328994,"COLEOMEGILLA MACULATA","Iowa","Olivia Ruffatto",2021
57328995,"COLEOMEGILLA MACULATA","Iowa","V. Cervantes",2021
57328996,"COLEOMEGILLA MACULATA","Iowa","O. Ruffatto",2021
57328997,"CYCLONEDA MUNDA","Iowa","Jack Hughes",2021
57328999,"COLEOMEGILLA MACULATA","Iowa","J. Hughes",2021
57329000,"COLEOMEGILLA MACULATA","Iowa","Olivia Ruffatto",2021
57329001,"COLEOMEGILLA MACULATA","Iowa","O. Ruffatto",2021
57329002,"PSYLLOBORA VIGINTIMACULATA","Iowa","M. Gorsegner",2021
57329003,"COLEOMEGILLA MACULATA","Iowa","J. Hughes",2021
57329004,"CYCLONEDA MUNDA","Iowa","O. Ruffatto",2021
57329005,"COLEOMEGILLA MACULATA","Iowa","M. Gorsegner",2021
57333108,"HIPPODAMIA VARIEGATA","Iowa","Olivia Ruffatto",2021
57333109,"COLEOMEGILLA MACULATA","Iowa","V. Cervantes",2021
57333110,"HIPPODAMIA VARIEGATA","Iowa","M. Gorsegner",2021
57333514,"COLEOMEGILLA MACULATA","Illinois","V. Cervantes",2021
57333518,"COLEOMEGILLA MACULATA","Illinois","M. Gorsegner",2021
57333521,"COLEOMEGILLA MACULATA","Illinois","Jack Hughes",2021
57333523,"COLEOMEGILLA MACULATA","Illinois","Olivia Ruffatto",2021
57333527,"COLEOMEGILLA MACULATA","Illinois","V. Cervantes",2021
57333531,"COLEOMEGILLA MACULATA","Illinois","V. Cervantes",2021
57333532,"CYCLONEDA MUNDA","Illinois","M. Gorsegner",2021
57333534,"COLEOMEGILLA MACULATA","Illinois","Olivia Ruffatto",2021
57333535,"COLEOMEGILLA MACULATA","Illinois","Jack Hughes",2021
57333536,"PROPYLEA QUATUORDECIMPUNCTATA","Illinois","Jack Hughes",2021
57333539,"COLEOMEGILLA MACULATA","Illinois","V. Cervantes",2021
57333540,"COLEOMEGILLA MACULATA","Illinois","Olivia Ruffatto",2021
57333542,"COLEOMEGILLA MACULATA","Illinois","Olivia Ruffatto",2021
57333543,"COLEOMEGILLA MACULATA","Illinois","Jack Hughes",2021
57333546,"COLEOMEGILLA MACULATA","Illinois","",2021
57333551,"HARMONIA AXYRIDIS","Illinois","M. Gorsegner",2021
57333556,"HIPPODAMIA PARENTHESIS","Illinois","Jack Hughes",2021
57333558,"CYCLONEDA MUNDA","Illinois","V. Cervantes",2021
57333561,"CYCLONEDA MUNDA","Illinois","M. Gorsegner",2021
57333563,"CHILOCORUS STIGMA","Illinois","M. Gorsegner",2021
57333568,"BRACHIACANTHA URSINA","Illinois","Jack Hughes",2021
57333570,"PSYLLOBORA VIGINTIMACULATA","Illinois","Olivia Ruffatto",2021
57333571,"CHILOCORUS STIGMA","Illinois","V. Cervantes",2021
57343223,"HIPPODAMIA PARENTHESIS","Iowa","Olivia Ruffatto",2021
57343225,"HIPPODAMIA PARENTHESIS","Iowa","V. Cervantes",2021
57343227,"HIPPODAMIA PARENTHESIS","Iowa","M.",2021
57343228,"COLEOMEGILLA MACULATA","Iowa","Jack Hughes",2021
57343230,"HIPPODAMIA PARENTHESIS","Iowa","V. Cervantes",2021
57343232,"COCCINELLA SEPTEMPUNCTATA","Iowa","Olivia Ruffatto",2021
57343234,"COCCINELLA SEPTEMPUNCTATA","Iowa","Olivia Ruffatto",2021
57343237,"COLEOMEGILLA MACULATA","Iowa","Jack Hughes",2021
57343238,"COLEOMEGILLA MACULATA","Iowa","Olivia Ruffatto",2021
57343239,"COLEOMEGILLA MACULATA","Iowa","M. Gorsegner",2021
57343241,"COLEOMEGILLA MACULATA","Iowa","Jack Hughes",2021
57343243,"COLEOMEGILLA MACULATA","Iowa","V. Cervantes",2021
57343244,"COLEOMEGILLA MACULATA","Iowa","Olivia Ruffatto",2021
57343245,"COLEOMEGILLA MACULATA","Iowa","Olivia Ruffatto",2021
57343246,"COLEOMEGILLA MACULATA","Iowa","M. Gorsegner",2021
57343248,"COLEOMEGILLA MACULATA","Iowa","Veronica Cervantes",2021
57343249,"HIPPODAMIA VARIEGATA","Iowa","V. Cervantes",2021
57343250,"HIPPODAMIA PARENTHESIS","Iowa","Jack Hughes",2021
57343251,"HIPPODAMIA PARENTHESIS","Iowa","V. Cervantes",2021
57343254,"CYCLONEDA MUNDA","Iowa","V. Cervantes",2021
57343255,"COLEOMEGILLA MACULATA","Iowa","Olivia Ruffatto",2021
57343257,"HARMONIA AXYRIDIS","Illinois","M. Gorsegner",2021
57343259,"CYCLONEDA MUNDA","Iowa","Olivia Ruffatto",2021
57343261,"HARMONIA AXYRIDIS","Iowa","Marissa Gorsegner",2021
57343262,"HARMONIA AXYRIDIS","Illinois","V. Cervantes",2021
57343264,"HARMONIA AXYRIDIS","Illinois","Olivia Ruffatto",2021
57343265,"HARMONIA AXYRIDIS","Illinois","Marissa Gorsegner",2021
57343283,"HARMONIA AXYRIDIS","Illinois","Olivia Ruffatto",2021
57343284,"HARMONIA AXYRIDIS","Illinois","V. Cervantes",2021
57343286,"HARMONIA AXYRIDIS","Illinois","O. Ruffatto",2021
57343290,"HARMONIA AXYRIDIS","Iowa","Olivia Ruffatto",2021
57343291,"HARMONIA AXYRIDIS","Iowa","Olivia Ruffatto",2021
57343292,"HARMONIA AXYRIDIS","Iowa","J. Hughes",2021
57343293,"PROPYLEA QUATUORDECIMPUNCTATA","Iowa","O. Ruffatto",2021
57343294,"COLEOMEGILLA MACULATA","Iowa","V. Cervantes",2021
57343295,"HARMONIA AXYRIDIS","Iowa","M. Gorsegner",2021
57343296,"HARMONIA AXYRIDIS","Iowa","V. Cervantes",2021
57343297,"HARMONIA AXYRIDIS","Iowa","M. Gorsegner",2021
57343299,"HARMONIA AXYRIDIS","Iowa","J. Hughes",2021
57343302,"CYCLONEDA MUNDA","Iowa","M. Gorsegner",2021
57343303,"HIPPODAMIA CONVERGENS","Iowa","O. Ruffatto",2021
57343304,"COCCINELLA SEPTEMPUNCTATA","Iowa","V. Cervantes",2021
57343306,"COLEOMEGILLA MACULATA","Iowa","M. Gorsegner",2021
57343308,"CHILOCORUS STIGMA","Iowa","O. Ruffatto",2021
57343309,"COLEOMEGILLA MACULATA","Iowa","J. Hughes",2021
57343312,"CYCLONEDA MUNDA","Illinois","O. Ruffatto",2021
57343313,"CYCLONEDA MUNDA","Illinois","J. Hughes",2021
57343314,"PROPYLEA QUATUORDECIMPUNCTATA","Illinois","J. Hughes",2021
57343315,"BRACHIACANTHA URSINA","Iowa","Olivia Ruffatto",2021
57343321,"BRACHIACANTHA URSINA","Iowa","Jack Hughes",2021
57343363,"HARMONIA AXYRIDIS","Iowa","M. Gorsegner",2021
57343366,"HARMONIA AXYRIDIS","Iowa","M. Gorsegner",2021
57343367,"HARMONIA AXYRIDIS","Iowa","J. Hughes",2021
57343368,"HARMONIA AXYRIDIS","Iowa","J. Hughes",2021
57343369,"HARMONIA AXYRIDIS","Iowa","O. Ruffatto",2021
57343372,"HARMONIA AXYRIDIS","Iowa","V. Cervantes",2021
57343373,"HARMONIA AXYRIDIS","Iowa","M. Gorsegner",2021
57343375,"HARMONIA AXYRIDIS","Iowa","V. Cervantes",2021
57343380,"HARMONIA AXYRIDIS","Iowa","M. Gorsegner",2021
57343381,"HARMONIA AXYRIDIS","Iowa","O. Ruffatto",2021
57343382,"HARMONIA AXYRIDIS","Iowa","O. Ruffatto",2021
57343385,"HARMONIA AXYRIDIS","Iowa","V. Cervantes",2021
